Compartment,Data
Infected,"[1.0, 1.091581074609319, 1.1912322841724694, 1.2996037120866875, 1.4173860460962369, 1.54531072732861, 1.6841492918479746, 1.8347131053779149, 1.9978506776084377, 2.1744438905497456, 2.365403669005862, 2.5716718336516404, 2.794203229662929, 3.0339558063476786, 3.2918885833418114, 3.5689380454485775, 3.866038137915462, 4.184049206482999, 4.523740256337073, 4.885788952108919, 5.270768125598956, 5.679065871556404, 6.110967035957113, 6.566481211847904, 7.045311595577818, 7.5468549867981265, 8.070201788462299, 8.614136067555133, 9.177086338929977, 9.756909775650335, 10.351000769277343, 10.956344068797788, 11.569514780624138, 12.186678368594508, 12.803590653972693, 13.415597815448141, 14.017683105414733, 14.60495843317358, 15.171656852262055, 15.71204252726419, 16.220734187815413, 16.692705128602544, 17.1232832093638, 17.5081508548888, 17.84334505501853, 18.125257364645414, 18.35069695265274, 18.517732406767177, 18.625439181830643, 18.673503302258997, 18.662244803061068, 18.592617729838647, 18.466210138786497, 18.285244096692374, 18.05257568093697, 17.77169497949397, 17.446726090930014, 17.082148867780596, 16.68180957942667, 16.250375389099833, 15.792449708916974, 15.312438916006325, 14.814552352507457, 14.30280232557128, 13.781004107360065, 13.252775935047401, 12.721539010818217, 12.190517501868785, 11.662738540406782, 11.1409401120348, 10.62716930132383, 10.123123492308281, 9.630314109871472, 9.150066530970864, 8.683520084638058, 8.231628051978783, 7.795157666172898, 7.374690112474422, 6.970620528211508, 6.583158002786386, 6.212325577675522, 5.857961206755245, 5.519872590585164, 5.1978152558979485, 4.89144411288642, 4.600386495200892, 4.32424215994917, 4.062583287696552, 3.814954482465825, 3.5808727717372686, 3.35982760644866, 3.1512808609952567, 2.954666833229822, 2.76939224446259, 2.594836239461302, 2.4304118924644103, 2.2756673851340556, 2.130155217998674, 1.9934346879049174, 1.865072072415543, 1.74464062980941, 1.631720599081484, 1.525899199942834, 1.4267706328206289, 1.3339360788581485, 1.24700369991477, 1.1655886385659795, 1.0893130181033652, 1.0178081548751003, 0.9508120623792147, 0.8881004942422077, 0.8294307666836391, 0.7745683164683692, 0.7232867009065592, 0.6753675978536722, 0.6306008057104707, 0.5887842434230202, 0.549723950482685, 0.5132340869261329, 0.479136933335331, 0.44726289083754756, 0.4174547813984687, 0.38959084766363083, 0.36355895071608285, 0.33925017559153026, 0.3165595506432932, 0.29538604754230713, 0.2756325812771227, 0.25720601015390476, 0.24001713579643408, 0.22398070314610594, 0.2090154004619308, 0.19504385932053386, 0.18199265461615582, 0.1697959345183717, 0.15841007876162425, 0.14778494040679468, 0.1378709365709971, 0.12862109601677424, 0.11999105915209705, 0.11193907803036515, 0.10442601635040706, 0.09741534945647937]"
Infected,"[1.0, 1.0886979732775455, 1.1849606981549297, 1.2893769485886197, 1.402570799818647, 1.5252017213413325, 1.6579638912082917, 1.801585654411514, 1.9568281529256073, 2.1244807255863045, 2.3053584601031742, 2.500300312453703, 2.7101632960221287, 2.9358043781714085, 3.1780795953398644, 3.437832516472995, 3.7158884128300453, 4.013046410901773, 4.330019025121706, 4.667430070591377, 5.025814663080356, 5.405591746273958, 5.807011273246666, 6.230210789412898, 6.675058320660491, 7.141140619969967, 7.6277631674145265, 8.133950170160091, 8.658444562465162, 9.199691394111467, 9.75561522866957, 10.32370081916676, 10.901091270560565, 11.484588118032065, 12.070651326985853, 12.655399293050113, 13.23460884207657, 13.803715230140389, 14.358182875873034, 14.893181606749717, 15.403424549376727, 15.88398318547459, 16.330292622504576, 16.738151593668697, 17.103722457909708, 17.42353119991109, 17.69446743009707, 17.91378438463263, 18.07920799329403, 18.189707452992142, 18.24505885883386, 18.245546283134768, 18.191968958775963, 18.085641279204047, 17.92839279843113, 17.722568231034824, 17.47102745215826, 17.17714549751006, 16.844812563364375, 16.47823280229035, 16.08089787253465, 15.65696581600097, 15.210564524478045, 14.745628072215645, 14.265896715924606, 13.774916894776789, 13.27604123040512, 12.772428526903557, 12.267043770827128, 11.762658131191909, 11.261848959475003, 10.766998480211713, 10.280114430653772, 9.802665112301437, 9.33592172240052, 8.881003892266351, 8.43887968728377, 8.01036560690713, 7.5961265846603085, 7.196675988136687, 6.812375618999175, 6.443435712980184, 6.089914939881651, 5.7517204035750185, 5.428614063399817, 5.1203700610150635, 4.82670315233456, 4.547270145150832, 4.281707491424316, 4.029631287283365, 3.7906372730242404, 3.5643008331111137, 3.3501769961760766, 3.1478004350191218, 2.95668546660817, 2.7763260520790345, 2.60619579673546, 2.4457479500490846, 2.294425892619867, 2.1518030259268417, 2.0174935576210458, 1.8911064822547625, 1.772257899561953, 1.6605710144582573, 1.5556761370409944, 1.4572106825891586, 1.364819171563427, 1.2781532296061504, 1.1968715875413591, 1.1206400813747657, 1.0491316522937548, 0.9820263466673957, 0.919028876767759, 0.8599409016115971, 0.8045544933018147, 0.7526633183254898, 0.7040678144068946, 0.6585751905074947, 0.6159994268259502, 0.5761612747981156, 0.5388882570970387, 0.5040146676329617, 0.47138157155332144, 0.4408368052427464, 0.412234976323063, 0.38544072450480765, 0.3603507445862489, 0.3368696056023303, 0.31490399908466415, 0.2943639327958798, 0.2751627307296238, 0.2572170331105599, 0.24044679639436875, 0.2247752932677488, 0.21012911264841505, 0.19643815968510014, 0.1836356557575538, 0.17165813847654207, 0.16044590852870783, 0.14995796002562534, 0.14015334063584653, 0.13098781212677263, 0.122419904551267]"
Dead,"[0.2117875122917169, 0.23048153807406555, 0.25075737276705634, 0.27273589481484306, 0.2965453818100704, 0.3223211068626626, 0.3502036059032736, 0.3803415035349269, 0.41288999370919477, 0.448005209728112, 0.48585102615783526, 0.5265987291367904, 0.5704145657229667, 0.6174643948782883, 0.6679089569891534, 0.7219130854619564, 0.779662557207291, 0.8412758988004692, 0.9068657268980971, 0.9765446581567243, 1.050409400333356, 1.128455851718778, 1.2108971463519609, 1.2976454088335778, 1.3885421019834787, 1.4834286886214443, 1.5821466315673085, 1.6845373936410084, 1.7903543746394952, 1.8990626844282836, 2.0104664508900605, 2.12388378902747, 2.2385766104302824, 2.353806826688313, 2.4688363493914096, 2.5829270901293953, 2.69534096049221, 2.8053853565924527, 2.912082654671579, 3.0136734405283434, 3.1093532160252693, 3.198435322464455, 3.2802331011480703, 3.3540598933780785, 3.4192290404565853, 3.4750538836859164, 3.520847764367801, 3.5559254168215944, 3.580419681086866, 3.5939256953313787, 3.5961367852641217, 3.587528386022882, 3.5685759327453894, 3.5397548605694453, 3.5015406046328934, 3.45440860007335, 3.398834282028645, 3.3352930856368204, 3.2642604460354647, 3.1863699692054865, 3.1033581967465977, 3.016262955591401, 2.925653908313407, 2.8321006460944744, 2.736172760116432, 2.638439841561109, 2.5394714816104056, 2.4398372714460095, 2.3401068022498066, 2.2408496652038252, 2.142635451489525, 2.045949879018224, 1.9508333697828277, 1.8581064771447586, 1.7679630257812846, 1.680456621705872, 1.595640870932101, 1.513569379473381, 1.4342957533432923, 1.3578735985552441, 1.284356521122902, 1.2137981270595333, 1.1462520223788317, 1.0817718130942922, 1.02046221319236, 0.9622961951868092, 0.9068281093109647, 0.853972245906732, 0.8036705343393464, 0.755864903974043, 0.7104972841760002, 0.6675096043104816, 0.6268437937426938, 0.5884417818378154, 0.5522454979610814, 0.5181968714777554, 0.4862378317530158, 0.45631030815209783, 0.42834377538630974, 0.4019455265074612, 0.3769206710064452, 0.35326973810214213, 0.33094824365991826, 0.3099117035451968, 0.2901156336232873, 0.2715155497595845, 0.2540669678194547, 0.23772540366817907, 0.22244637317126603, 0.20818539219396826, 0.1948979766016521, 0.18253964225976915, 0.17099614178323463, 0.16007523670012347, 0.14977957594814484, 0.14008781647510204, 0.1309778257049743, 0.12242747106185448, 0.1144146199697218, 0.10691713985258389, 0.09991289813444837, 0.09337976223940814, 0.08729559959138555, 0.08163827761444509, 0.07638566373259437, 0.07150159818723978, 0.06689309301219737, 0.06255000559417567, 0.05846528323732514, 0.05462919057268323, 0.051031992231287404, 0.04766395284406144, 0.044515337042071224, 0.04157640945635421, 0.03883743471786261, 0.036288677457605445, 0.03392040230662019, 0.031722873895944304, 0.02968133731425837, 0.027744238659636267, 0.025925660386491245, 0.02422603635849896]"
Infected,"[1.0, 1.08891628267101, 1.1854299431226143, 1.2901324327493422, 1.4036504530583784, 1.5266459768990848, 1.659815441998767, 1.803889077265021, 1.9596295676208366, 2.127826967991995, 2.3092963161353928, 2.5048748877050437, 2.715417855862987, 2.941777974184071, 3.1848042275322386, 3.445332310654649, 3.7241723871669183, 4.022111402869592, 4.339844534665183, 4.677971060365269, 5.036994358690476, 5.417304071404027, 5.819101612355869, 6.242478619325692, 6.6872570105199305, 7.152966603092969, 7.638845113147086, 8.14383815573254, 8.66659924484751, 9.205492814100998, 9.758392372992297, 10.322668842935778, 10.895362677123705, 11.473187355806976, 12.052529386295154, 12.629448302956433, 13.199676667217608, 13.75862006756423, 14.301612591280183, 14.823991774972598, 15.320477134743657, 15.786148792914169, 16.216492037346658, 16.607397321445383, 16.955160264156312, 17.256481649967135, 17.50846742890727, 17.708628716547842, 17.8549069509134, 17.946293034061238, 17.982842750552287, 17.9651093567877, 17.89412754344698, 17.77141343548799, 17.59896459214694, 17.37926000693842, 17.11526010765534, 16.810406756369, 16.46862324942901, 16.09422831845575, 15.690812934782112, 15.262404418509254, 14.813109721615836, 14.34682679371829, 13.867244582070844, 13.377843031565492, 12.881893084732008, 12.382456681737974, 11.882386760388727, 11.384327256127374, 10.890713102034846, 10.403770228829814, 9.925460222425206, 9.457211975707553, 9.000180076952716, 8.55537651762488, 8.123670766224345, 7.705789768287523, 7.302317946386965, 6.913697200131321, 6.54022690616535, 6.182063918169968, 5.839222566862173, 5.511574659995055, 5.198850623153057, 4.900762562938721, 4.617009289324598, 4.347230628218449, 4.091048758781734, 3.8480682134296056, 3.61787587783092, 3.4000409909082316, 3.1941151448377925, 2.9996322850495485, 2.816108710227147, 2.6430430723079366, 2.4799163764829495, 2.326191981196941, 2.18131559814834, 2.044814777366419, 1.9163363022760973, 1.7954963590084037, 1.6819189545971964, 1.575235917395142, 1.4750868970737152, 1.3811193646231967, 1.292988612352679, 1.2103577538900578, 1.1328977241820402, 1.0602872794941431, 0.992212997410679, 0.9283692768347884, 0.8684682956145251, 0.8123056283557131, 0.7596822661304322, 0.7104001759302166, 0.6642678069088492, 0.6211000903823614, 0.580718439829032, 0.5429507508893902, 0.5076314013662125, 0.47460125122452423, 0.4437076425915981, 0.4148043997569588, 0.38775182917237466, 0.36241838192107423, 0.3387032433824203, 0.31651642297763544, 0.29576885483427556, 0.27637467003351357, 0.25825119661013934, 0.24131895955255955, 0.22550168080279787, 0.21072627925649484, 0.19692287076290843, 0.18402476812491256, 0.17196848109899873, 0.1606937163952753, 0.15014368733085945, 0.14027861616875212, 0.13105970859263888, 0.12244489822146919, 0.11439476596568733]"
Dead,"[0.2121084571756376, 0.23067913848339489, 0.25080759609609393, 0.2726116882526519, 0.296216324014803, 0.32175320376756567, 0.34935896621954576, 0.3791779398500805, 0.4113608186607922, 0.4460591818816644, 0.4834313287803629, 0.5236435589604005, 0.566856620411686, 0.6132307031867201, 0.662922090611886, 0.716085158424022, 0.7729040553944939, 0.8334937622930498, 0.897960341093464, 0.9664098537696013, 1.0389420149516528, 1.1155380439531193, 1.1964003494190933, 1.281475765571079, 1.3706020754756967, 1.463617062199475, 1.560358508809184, 1.6606641983712152, 1.7643372990386474, 1.8708308591311145, 1.9799487395724107, 2.0910908614123436, 2.2035337360903924, 2.3165538750461856, 2.429427789719334, 2.5414319915493806, 2.6518429919758617, 2.7599497791212215, 2.865051810221196, 2.965382399685467, 3.0599786172922876, 3.1481892304051087, 3.22936300638721, 3.3028487126020636, 3.367995116412949, 3.4241509851833456, 3.4706650862762984, 3.506886187055869, 3.5325035534535942, 3.5477801588982913, 3.5519732140538736, 3.545479909318402, 3.5287752468794054, 3.5023342289244397, 3.4666318576411186, 3.422143135216672, 3.369343063839338, 3.3087066456957075, 3.2407088829739052, 3.1658251970174547, 3.085277303338117, 3.0006047044781354, 2.9124080348511967, 2.8212306659983, 2.7276159694605155, 2.6321073167788995, 2.5352480794944086, 2.4375816291481556, 2.339651337281225, 2.242000575434531, 2.145172715149357, 2.0497111279661624, 1.9558437984324826, 1.8639017863348784, 1.7744899994297896, 1.6876600311014442, 1.6034594093772228, 1.5219356622847329, 1.4431363178512413, 1.3671089041043558, 1.2939009490714852, 1.223559980779953, 1.156133527257424, 1.0916691165312784, 1.030214526420707, 0.9719281781342204, 0.9164891794424648, 0.8636112234374309, 0.8132386773938833, 0.7653159085865582, 0.7197872842902484, 0.6765971717796333, 0.6356899383293921, 0.5970099512144316, 0.5605015777092888, 0.526109185088842, 0.49377714062774203, 0.4634498116007819, 0.4350715652826409, 0.4085423017715186, 0.3834025299709083, 0.35958477906709163, 0.3370786376025592, 0.3158411249494293, 0.29582926047967817, 0.27700006356539575, 0.2593105535785867, 0.2427177498913693, 0.22717867187571983, 0.21265033890367135, 0.1990897703473138, 0.18645398557870863, 0.17469950757705988, 0.16368128107237112, 0.15326142462350845, 0.14343823147709145, 0.13419064455314356, 0.12549760677160293, 0.11733806105254985, 0.10969095031597931, 0.10253521748188632, 0.09584980547029431, 0.08961365720122672, 0.08380571559465011, 0.07840492357061635, 0.07339022404914886, 0.06872138865512056, 0.06430944105926528, 0.06015187176933523, 0.05624102648144458, 0.05256760732544308, 0.049122316431294166, 0.04589585592890444, 0.04287892794818049, 0.04006223461911418, 0.03743647807155526, 0.03499236043543874, 0.032720583840699646, 0.03061185041727299, 0.028651004150901827, 0.026789174874352284, 0.025041874040340417]"
Infected,"[1.0, 1.0880560258628724, 1.1835717733908513, 1.2871247902874259, 1.3993272609258562, 1.5208261678062323, 1.6523027224141287, 1.7944719083952927, 1.9480812905962175, 2.113906779434022, 2.292750361801622, 2.48543841087856, 2.6928163987834273, 2.9157318862638713, 3.1550336791816562, 3.4115610672549566, 3.686138313261901, 3.9795679663301624, 4.292573147854339, 4.62579548497646, 4.979795110585999, 5.355024784177749, 5.7517787937062455, 6.170251103384947, 6.610380624708602, 7.0718390662170805, 7.554030933495324, 8.056093529173388, 8.57689695292646, 9.115020995191486, 9.66855316105907, 10.23515794137466, 10.812155170147738, 11.39652009942314, 11.984883399280998, 12.573531157836841, 13.15840488124145, 13.735101493681054, 14.299182964900321, 14.845963105799267, 15.370203075831618, 15.866973964720119, 16.331670385793846, 16.760010475988203, 17.14803589584493, 17.49211182951208, 17.78892698474405, 18.03549359290156, 18.22924217289372, 18.368796660708373, 18.453578311554057, 18.483523084886404, 18.4590954620668, 18.38128844636242, 18.251623562946214, 18.072150858896897, 17.84544890319897, 17.574624786742717, 17.263314122324168, 16.915602866303146, 16.534939937297107, 16.125320427125203, 15.690878288266976, 15.23557055122305, 14.76317732451513, 14.277301794685993, 13.78137022629951, 13.278631961940617, 12.772159422215367, 12.264848105750803, 11.7594165891952, 11.258406396922165, 10.764034974631885, 10.277934232440996, 9.801507140898494, 9.336001490972635, 8.882509894050939, 8.44196978194018, 8.015163406866405, 7.602717841474908, 7.205104978830265, 6.8226415324162755, 6.455489036136036, 6.103653844311907, 5.766987131685459, 5.445277770239222, 5.1383232338708655, 4.8458115224359775, 4.567407754078724, 4.302754870091991, 4.051473634917382, 3.8131626361452238, 3.58739828451456, 3.3737348139131482, 3.1717042813774743, 2.9808165670927504, 2.8005593743928796, 2.6303982297605186, 2.469777355889879, 2.3182158349842967, 2.1753255956769695, 2.0407130835268292, 1.913991104652992, 1.7947788257347572, 1.682701774011608, 1.577391837283211, 1.4784872639094144, 1.3856326628102542, 1.298479003465947, 1.216683615916892, 1.1399101907636764, 1.067828779167064, 1.000115815283148, 0.9365181867901797, 0.8768454576501126, 0.8208839926010466, 0.7684269900845799, 0.7192744822458097, 0.6732333349333319, 0.6301172476992405, 0.5897467537991286, 0.5519492201920878, 0.516558847540708, 0.48341667021107915, 0.452370556272787, 0.42327520749891917, 0.3960028414095003, 0.37045422343311296, 0.3465319970169438, 0.32414210494214685, 0.3031938192430589, 0.2835997412072003, 0.2652758013752739, 0.24814125954116614, 0.23211870475194687, 0.21713405530786806, 0.2031165587623656, 0.1899987919220583, 0.17771666084674798, 0.16621144545161287, 0.15544523680103892, 0.14537404320329556, 0.1359532625200835]"
Dead,"[0.21048761496864274, 0.229090060069401, 0.2492695377133613, 0.2711470008817781, 0.29485080046692547, 0.32051662247001733, 0.34828520921586814, 0.3783054863446178, 0.4107336701435491, 0.4457271412147019, 0.4834488732438067, 0.5240729704536311, 0.5677678230280634, 0.6147007336519108, 0.6650375481087529, 0.7189320346545856, 0.7765844951936582, 0.838125268627361, 0.9036640491079133, 0.9733105307875292, 1.0471744078183942, 1.1252601726164944, 1.2077087087079565, 1.2945714029815605, 1.3856706124997284, 1.480828432487744, 1.5798669581708786, 1.6826082847744104, 1.7888733131053627, 1.8981625952925079, 2.01014154380735, 2.1243294062298403, 2.239958316326188, 2.3562604078627523, 2.472467814605622, 2.58781267032132, 2.7015271087758777, 2.8128432637355303, 2.921118744923646, 3.024803863370771, 3.1224668335848236, 3.2134556618643018, 3.297122817015186, 3.372820767843386, 3.43990198315484, 3.4977189317553155, 3.5456240824513117, 3.582969904047701, 3.609179974489166, 3.6247209913687186, 3.628977294516403, 3.622090987247674, 3.604588906036412, 3.576997887356214, 3.5398447676808473, 3.4936563834843355, 3.438959571240048, 3.3762811674219364, 3.3061480085038966, 3.22907694802025, 3.1458440297503927, 3.0583290284987044, 2.9673529901599522, 2.873455676095517, 2.7771768476666523, 2.679056266234767, 2.579633693161071, 2.479448889807003, 2.3790416175337725, 2.27895163770296, 2.179718711675264, 2.081882600812861, 1.9858951335451707, 1.891798400193494, 1.8002859228321029, 1.7115010281652019, 1.6254817628484943, 1.5422661735376266, 1.4618923068883305, 1.3843982095563092, 1.3098219281972092, 1.2382015094667338, 1.1695750000205578, 1.1039804465144414, 1.0414558956040025, 0.9821254278900824, 0.9258931773915435, 0.8722685700332136, 0.8211795029511393, 0.7725707214167414, 0.7263869707014123, 0.6825729960765159, 0.641073542813416, 0.6018333561835334, 0.564797181458232, 0.5299097639089041, 0.4971158488068568, 0.4663601814236529, 0.43758750703045735, 0.4107425708988046, 0.38553643100246404, 0.361541453666149, 0.3388650649579006, 0.31746537597760494, 0.2972986196153613, 0.2783210287613542, 0.26048883630562614, 0.24375827513836157, 0.22808557814971664, 0.21342697822979062, 0.19973870826865436, 0.18697700115654925, 0.17509808978354613, 0.1640219255456259, 0.15356792296759636, 0.14370743419115684, 0.1344215658999417, 0.12568966487148714, 0.1174910778833862, 0.1098051517133456, 0.10261123313895837, 0.09588866893781756, 0.08961680588754461, 0.08377499076584627, 0.07834257035020187, 0.07329889141837498, 0.06861973588135584, 0.06421684022831187, 0.060059655609762785, 0.05614821525026059, 0.05247331154805579, 0.04902573690159784, 0.045796283709165664, 0.04277574436912346, 0.03995491127977857, 0.03732457683955204, 0.03487553344669436, 0.03259857349956974, 0.0304844893965992, 0.028523457409050934, 0.02667208750747818, 0.02492638542597092]"
Infected,"[1.0, 1.0879131765676366, 1.1832494512203517, 1.2865791443858166, 1.3985059501561123, 1.5196669148822919, 1.650731591933565, 1.7924012607205393, 1.9454079116348277, 2.1105090126913253, 2.288485480971563, 2.480137846073605, 2.6862850723240927, 2.907743056178843, 3.1453223302946713, 3.3998227799575225, 3.672012963268294, 3.9626480244341526, 4.272397692352159, 4.601836682311189, 4.95144469599193, 5.321602176956343, 5.712503683755897, 6.124239677270929, 6.556670962674802, 7.009375905241072, 7.481650430343526, 7.972508023456133, 8.480679730153083, 9.004619887013922, 9.54242206825289, 10.09161740237796, 10.649401033369669, 11.212666186352616, 11.778004167595443, 12.341704364510825, 12.899754245655487, 13.447839360730214, 13.981379435412663, 14.496084978433858, 14.98702123222443, 15.449317860829707, 15.878507971325826, 16.270528113819736, 16.621718281449184, 16.928821910382737, 17.188985879819757, 17.39976051199041, 17.55909957215571, 17.665493294363202, 17.71866028409355, 17.719042493408622, 17.66752087583924, 17.565416290244368, 17.414489500811133, 17.216941177054807, 16.975411893818823, 16.692982131274793, 16.37317227492241, 16.019942615589603, 15.637384351014534, 15.228876063733065, 14.798393556476572, 14.349788979747753, 13.886709818432577, 13.412598891800252, 12.93069435350327, 12.444029691577374, 11.955433728441546, 11.467530620898089, 10.982739860132503, 10.50327627171355, 10.031150070522331, 9.568108327021388, 9.115403062688205, 8.674056301970161, 8.244959020958017, 7.828871147385913, 7.426421560631369, 7.038108091715301, 6.664297523301977, 6.305225589699077, 5.960996976857657, 5.6315853223721115, 5.316833215480288, 5.016453820993709, 4.730147778676355, 4.457607969325643, 4.198480032416402, 3.9523939932849155, 3.7189642631289184, 3.497789639007601, 3.2884533038416013, 3.090522826413014, 2.903550161365385, 2.7270716492037144, 2.5606080162944456, 2.403664374865499, 2.2557302230062213, 2.1162794446674087, 1.984820949398296, 1.8610288119195946, 1.7445426648210725, 1.635004742671268, 1.5320650201949204, 1.4353812122729686, 1.3446187739425546, 1.2594509003970211, 1.179558526985911, 1.1046303292149706, 1.0343627227461454, 0.9684598633975814, 0.9066336471436308, 0.8486056000718947, 0.7941613108582493, 0.7431162104979767, 0.6952828365926279, 0.6504797385993912, 0.6085314778310926, 0.5692686274561958, 0.5325277724988016, 0.498151509838648, 0.465988448211112, 0.43589320820720623, 0.4077264222735833, 0.381354734712529, 0.3566508016819721, 0.33350559326734247, 0.3118361880118587, 0.29155805863432765, 0.272589620772117, 0.2548522663806553, 0.23827036373343233, 0.22277125742199855, 0.20828526835596575, 0.1947456937630065, 0.18208880718885453, 0.17025385849730448, 0.1591830738702119, 0.14882165580749337, 0.13912190515034734, 0.13005142134019113, 0.12157054731702524]"
Dead,"[0.20859337008038387, 0.2266652400048883, 0.24623736410860791, 0.26742213151913596, 0.29033855945860165, 0.3151121391028726, 0.34187302075784287, 0.37075860145757855, 0.4019124223494406, 0.43547890590061744, 0.47160882631771894, 0.5104605621710983, 0.5521877593460438, 0.5969435821852285, 0.6448777795389828, 0.6961380879443606, 0.7509010880506581, 0.809279780698577, 0.8713785438151262, 0.937301755327363, 1.0071492959700095, 1.0809096314955298, 1.1587762496682483, 1.240716814706209, 1.3265880920937185, 1.4162468473151364, 1.509549845854675, 1.6063538531968575, 1.7064911300109635, 1.8094559959184515, 1.915086834502926, 2.0228512187668315, 2.1320724234717368, 2.2420737233791392, 2.352178393250668, 2.4617097078479517, 2.5699909419321756, 2.6763476191876236, 2.7801525318021874, 2.879811759630506, 2.974290856413532, 3.0629441783960374, 3.14512608182271, 3.2201909229385492, 3.287493057988172, 3.3463868432162727, 3.3962266348676167, 3.436366789187474, 3.4663626676289567, 3.4865129730741558, 3.4959579513650993, 3.494957299367954, 3.483937872606603, 3.463326526605101, 3.4335501168872895, 3.395035498977194, 3.3482095283988684, 3.2934990606758845, 3.2313309513327226, 3.1621303278834176, 3.086784642009661, 3.006920894632117, 2.923231824466143, 2.836253356562125, 2.746521415970534, 2.6545719277417277, 2.5609408169261485, 2.4661640085742533, 2.3707774277364138, 2.2753169994628877, 2.1803186488045014, 2.0863183008114277, 1.993699576158491, 1.902558219010558, 1.8137000643527301, 1.7272462253946514, 1.6432506828219289, 1.561767417320226, 1.4828504095750645, 1.4065536402721364, 1.3329310900970484, 1.2620367397353789, 1.1939245698728485, 1.1286485611948933, 1.066262694387234, 1.006859388906804, 0.9504499758219538, 0.8966178223500947, 0.8452728782187648, 0.7963607238421275, 0.7498269396343176, 0.7056171060094698, 0.6636768033817191, 0.6239516121652002, 0.5863871127740765, 0.5509288856224543, 0.5175225111244686, 0.4861135696943393, 0.4566476417460592, 0.42906911316296714, 0.4030939868297878, 0.37843931580181334, 0.3551071126565546, 0.3330559340386401, 0.31224433659281203, 0.29263087696369894, 0.274174111796043, 0.2568325977345012, 0.2405648914237588, 0.22532954950852968, 0.2110851286334423, 0.19779018544326732, 0.18540327658266165, 0.1738694504473699, 0.16298367325489949, 0.1526916415960784, 0.1429878803711233, 0.13385147337763215, 0.12526150441337336, 0.1171970572758596, 0.10963721576288776, 0.10256106367202733, 0.09594768480093308, 0.08977616294734503, 0.08402558190886111, 0.07867502548307925, 0.07370357471864963, 0.06905287438448227, 0.0646553936642249, 0.060511635891856486, 0.056612432593169615, 0.05294861529378636, 0.0495110155194709, 0.04629046479590215, 0.04327779464878745, 0.04046383660389097, 0.0378394221868632, 0.03539538292338307, 0.033122550339271584, 0.031011755960150822, 0.02904474899185061, 0.02717395728654992]"
Infected,"[1.0, 1.0887750008037174, 1.185114977178638, 1.2896055960912072, 1.4028668541029903, 1.525552942526916, 1.6583512913118101, 1.801981804878787, 1.957195201056477, 2.124767766872774, 2.3054987986670463, 2.500207945776791, 2.7097297897876547, 2.9348936848176854, 3.176522597914484, 3.435422597412285, 3.712372062336192, 4.008120670994972, 4.323322241430516, 4.658531328157014, 5.014203222161017, 5.390674875200409, 5.788092809676357, 6.2064864072356665, 6.645612689038962, 7.104936540708676, 7.583630712329096, 8.08057581844629, 8.594360338068242, 9.123288326548233, 9.665179370352181, 10.217349887894875, 10.776803045723756, 11.340232920766665, 11.904024500331827, 12.464253682107891, 13.016687274163804, 13.55678299494906, 14.079951611488148, 14.58163247233355, 15.056694811534637, 15.500385758992673, 15.9083705987067, 16.276732768773535, 16.60197386138777, 16.881013622841774, 17.111189953525702, 17.290258907927463, 17.416411506018843, 17.488823564330822, 17.507755974898675, 17.473951605996117, 17.388604775959113, 17.253361253185894, 17.070318256136968, 16.842024453335085, 16.57147996336528, 16.262136354874816, 15.917896646573286, 15.543025558339684, 15.141053309653442, 14.715910757664675, 14.27158211023138, 13.811839928497884, 13.340245126894828, 12.860146973139175, 12.374683088234233, 11.886779446469601, 11.399150375421208, 10.914298555951328, 10.43451502220852, 9.961879161627692, 9.498226378972214, 9.044901263703363, 8.602959623130783, 8.173321879038129, 7.7567735896836645, 7.353965449800257, 6.965413290595377, 6.591498079751111, 6.232465921424158, 5.888428056245799, 5.559360861321955, 5.245105850233154, 4.945371032853496, 4.659846429250515, 4.388216931479245, 4.1301195343883625, 3.885175210488905, 3.6529889099542667, 3.433149560620199, 3.225230067984814, 3.028787315208576, 2.8433621631143104, 2.6684794501872053, 2.503647992574795, 2.3483605840869792, 2.2020939961960133, 2.0643089780365256, 1.9345251113522266, 1.8124148024897395, 1.6976079203899819, 1.58974073961088, 1.488457567487761, 1.3934107441333499, 1.3042606424377756, 1.220675668068564, 1.142332259470644, 1.0689148878663421, 1.000116057255386, 0.9356363044149051, 0.8751841988994266, 0.8184861536420118, 0.7653438093918323, 0.7155657463853895, 0.6689628734901581, 0.6253522945200637, 0.5845573082354817, 0.5464074083432383, 0.5107382834966099, 0.4773918172953235, 0.44621608828555626, 0.4170653699599367, 0.3898001307575425, 0.36428703406390145, 0.340400603301695, 0.31804583239610174, 0.297137433015653, 0.2775906748601734, 0.25932389627142294, 0.2422585042330969, 0.22631897437082607, 0.2114328509521764, 0.1975307468866498, 0.18454634372568263, 0.17241639166264724, 0.16108070953285203, 0.15048218481353906, 0.1405673574542984, 0.1312994821428985, 0.12264083641217163, 0.11455160056672964, 0.10699447468115846]"
